id,room_id/id,noted_date,temp,out/in
__export__.temp_log_117345_92ebcb20,Room Admin,04-11-2018 03:50,31,In
__export__.temp_log_95685_6c9fba85,Room Admin,04-11-2018 03:49,42,Out
__export__.temp_log_104856_cac69734,Room Admin,04-11-2018 03:48,31,In
__export__.temp_log_129702_6b642929,Room Admin,04-11-2018 03:47,42,Out
__export__.temp_log_86825_230bbd60,Room Admin,04-11-2018 03:46,31,In
__export__.temp_log_110324_6f2db3ae,Room Admin,04-11-2018 03:43,42,Out
__export__.temp_log_111443_85541e94,Room Admin,04-11-2018 03:42,31,In
__export__.temp_log_152492_73eddfdd,Room Admin,04-11-2018 03:41,42,Out
__export__.temp_log_142922_6abd5fa4,Room Admin,04-11-2018 03:40,31,In
__export__.temp_log_118756_6f30803f,Room Admin,04-11-2018 03:38,31,In
__export__.temp_log_92565_5c9e1752,Room Admin,04-11-2018 03:36,31,In
__export__.temp_log_143999_d3259c1b,Room Admin,04-11-2018 03:33,42,Out
__export__.temp_log_107173_781525bc,Room Admin,04-11-2018 03:29,42,Out
__export__.temp_log_108001_6e7008fb,Room Admin,04-11-2018 03:27,41,Out
__export__.temp_log_138209_feeb2079,Room Admin,04-11-2018 03:25,41,Out
__export__.temp_log_150326_57fc5b5a,Room Admin,04-11-2018 03:24,31,In
__export__.temp_log_86850_33dc6a8b,Room Admin,04-11-2018 03:21,42,Out
__export__.temp_log_95839_fe1b1422,Room Admin,04-11-2018 03:19,42,Out
__export__.temp_log_91998_1b0e1edd,Room Admin,04-11-2018 03:15,41,Out
__export__.temp_log_120101_c2781f36,Room Admin,04-11-2018 03:13,41,Out
__export__.temp_log_85836_f2de847a,Room Admin,04-11-2018 03:12,31,In
__export__.temp_log_117079_3b238082,Room Admin,04-11-2018 03:08,31,In
__export__.temp_log_120188_cc220703,Room Admin,04-11-2018 03:07,41,Out
__export__.temp_log_110972_243e5bb9,Room Admin,04-11-2018 03:05,41,Out
__export__.temp_log_121611_928033da,Room Admin,04-11-2018 03:03,40,Out
__export__.temp_log_95095_e2b5d20a,Room Admin,04-11-2018 03:01,41,Out
__export__.temp_log_86202_f3943f67,Room Admin,04-11-2018 02:59,40,Out
__export__.temp_log_90046_a50c164e,Room Admin,04-11-2018 02:55,41,Out
__export__.temp_log_106601_4a1ad167,Room Admin,04-11-2018 02:53,40,Out
__export__.temp_log_129386_3717b79d,Room Admin,04-11-2018 02:51,39,Out
__export__.temp_log_145750_80a52b70,Room Admin,04-11-2018 02:50,31,In
__export__.temp_log_94239_01ce6ad6,Room Admin,04-11-2018 02:47,40,Out
__export__.temp_log_128448_7f2e757e,Room Admin,04-11-2018 02:46,31,In
__export__.temp_log_139901_bd2ba805,Room Admin,04-11-2018 02:45,39,Out
__export__.temp_log_148719_9bd6eaac,Room Admin,04-11-2018 02:43,39,Out
__export__.temp_log_127365_d4a4fabc,Room Admin,04-11-2018 02:41,38,Out
__export__.temp_log_123393_61ef33b3,Room Admin,04-11-2018 02:39,39,Out
__export__.temp_log_97001_0542ae98,Room Admin,04-11-2018 02:37,38,Out
__export__.temp_log_141306_9880f694,Room Admin,04-11-2018 02:33,37,Out
__export__.temp_log_98519_0b7f1c2c,Room Admin,04-11-2018 02:31,38,Out
__export__.temp_log_139491_ec2d2eb0,Room Admin,04-11-2018 02:30,31,In
__export__.temp_log_142636_91c1068b,Room Admin,04-11-2018 02:29,37,Out
__export__.temp_log_110659_5e99328f,Room Admin,04-11-2018 02:27,38,Out
__export__.temp_log_139630_b98683dd,Room Admin,04-11-2018 02:25,38,Out
__export__.temp_log_90032_3d975347,Room Admin,04-11-2018 02:21,37,Out
__export__.temp_log_102906_6785bb29,Room Admin,04-11-2018 02:19,36,Out
__export__.temp_log_96129_13adb8dc,Room Admin,04-11-2018 02:18,31,In
__export__.temp_log_147730_ccb5e11d,Room Admin,04-11-2018 02:15,38,Out
